 Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,387.80","-0.44%","1,389.50","57,97,145","18,78,036.55","19.29","10.47","1,611.80","1,114.85","-11.33%","-5.39%","6.31%","25.16%","48.80%","2.15","0.39%","8.54%","8.71%","101.61","1,528.53","1,435.44","24.43","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","927.25","-0.42%","925.00","1,49,39,606","14,26,534.92","18.50","8.47","1,020.50","812.73","-5.91%","-7.55%","12.31%","11.65%","24.30%","2.56","1.18%","13.93%","6.38%","89.49","983.43","976.24","29.34","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,998.30","0.12%","1,977.00","37,23,832","11,39,451.71","25.39","-1.62","2,174.50","1,559.50","-4.74%","-2.59%","21.76%","161.40%","241.50%","9.63","0.78%","8.11%","18.01%","21.42","2,091.53","1,952.19","31.38","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","3,123.80","0.69%","3,100.00","7,85,688","11,30,218.18","23.45","32.67","4,191.35","2,866.60","-4.82%","3.60%","-23.39%","-7.12%","-5.59%","10.63","4.06%","50.48%","62.02%","131.54","3,193.85","3,225.88","37.64","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,349.00","-1.95%","1,367.50","1,10,33,338","9,64,560.87","17.38","8.47","1,500.00","1,186.00","-0.38%","-2.97%","9.41%","55.00%","144.83%","2.87","0.80%","16.67%","6.13%","64.38","1,376.52","1,403.28","47.04","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,027.95","-0.82%","1,032.00","31,95,292","9,48,861.33","11.42","9.89","1,052.00","680.00","4.86%","13.27%","31.92%","73.58%","239.76%","1.77","1.48%","15.83%","5.57%","81.94","980.72","862.76","70.12","78.00%","91.00%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,645.60","-0.80%","1,651.00","30,63,804","6,67,228.99","24.00","32.67","1,924.00","1,307.00","0.42%","12.64%","-9.25%","7.87%","22.86%","8.99","2.66%","29.67%","35.85%","64.20","1,594.68","1,538.73","57.49","78.00%","90.53%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","935.65","0.26%","925.00","25,73,379","5,82,206.52","31.28","-1.73","1,102.50","718.21","-7.21%","-13.45%","25.76%","59.66%","87.81%","5.63","0.60%","18.84%","10.98%","241.14","1,000.69","955.99","32.97","76.00%","89.83%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,388.70","0.40%","2,379.10","5,38,058","5,61,246.86","51.11","46.58","2,705.09","2,101.12","4.77%","-6.40%","3.55%","-4.72%","3.07%","11.46","2.23%","19.99%","23.38%","43.99","2,354.61","2,395.98","53.18","78.00%","91.00%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","3,733.20","-2.03%","3,800.00","11,89,023","5,13,531.85","27.39","10.96","4,195.00","2,965.30","-8.35%","-3.60%","3.90%","65.92%","170.00%","5.17","0.89%","15.18%","18.71%","96.60","4,023.76","3,700.17","27.35","76.00%","91.00%"
